Cluster ID,confidence_score,ln,dob,gn,fn,canonical_ln,canonical_dob,canonical_fn,canonical_gn
24,,SMITH JR,01/03/68,F,WILLIAM,,,,
25,,ROTHMEYER JR,01/03/68,F,WILLIAM,,,,
26,,ASBY JR,01/03/68,F,WILLIAM,,,,
0,0.399332,SALTER JR,01/03/68,F,WILLIAM,salter jr,01/03/68,william,f
0,0.399332,SALTER JR,01/03/68,F,WILLIAM,salter jr,01/03/68,william,f
1,0.36677965521812439,BLAND JR,21/02/62,F,WILLIAM,bland jr,21/02/62,william,f
1,0.36677965521812439,BLAND JR,21/02/62,F,WILLIAM,bland jr,21/02/62,william,f
1,0.36677965521812439,BLAND JR,21/02/62,F,WILLIAM,bland jr,21/02/62,william,f
2,0.399332,SHAFFER JR,21/02/62,F,WILLIAM,shaffer jr,21/02/62,william,f
2,0.399332,SHAFFER JR,21/02/62,F,WILLIAM,shaffer jr,21/02/62,william,f
27,,BLAND III,21/02/62,F,WILLIAM,,,,
1,0.26912176609039307,BLAND JR,21/02/62,F,BILL,bland jr,21/02/62,william,f
28,,BLAND,21/02/62,F,WILLIAM,,,,
1,0.36677965521812439,BLAND JR,21/02/62,F,WILLIAM,bland jr,21/02/62,william,f
3,0.399332,BLAND JR,08/06/54,F,WILLIAM,bland jr,08/06/54,william,f
3,0.399332,BLAND JR,08/06/54,F,WILLIAM,bland jr,08/06/54,william,f
4,0.399332,BLAND JR,25/10/53,F,WILLIAM,bland jr,25/10/53,william,f
4,0.399332,BLAND JR,25/10/53,F,WILLIAM,bland jr,25/10/53,william,f
29,,SHAFFER JR,25/10/53,F,WILLIAM,,,,
5,0.0913335,DUNCAN JR,25/10/53,F,THOMAS,duncan jr,25/10/53,thomas,f
30,,CARLSON JR,25/10/53,F,ROY,,,,
31,,CARLSON JR,25/10/53,F,RON,,,,
5,0.0913335,DUNCAN JR,25/10/53,F,ROY,duncan jr,25/10/53,thomas,f
6,0.38665850957234704,MICHAELSON,25/10/53,M,ROY,michaelson,25/10/53,roy,m
6,0.38665850957234704,MICHAELSON JR,25/10/53,M,ROY,michaelson,25/10/53,roy,m
6,0.38665850957234704,MICHAELSON,25/10/53,M,ROY,michaelson,25/10/53,roy,m
6,0.38665850957234704,MICHAELSON JR,25/10/53,M,ROY,michaelson,25/10/53,roy,m
32,,MICHAELSON JR,01/05/51,M,ROY,,,,
7,0.399332,MICHAELSON JR,17/06/48,M,ROY,michaelson jr,17/06/48,roy,m
7,0.399332,MICHAELSON JR,17/06/48,M,ROY,michaelson jr,17/06/48,roy,m
33,,MICHAELSON JR,09/04/47,M,ROY,,,,
34,,MICHAELSON JR,09/04/47,M,ROBERT,,,,
35,,MICHAELSON JR,09/04/47,M,BOB,,,,
8,0.256406,MUSTAPHA JR,11/03/47,M,OWEN,mustapha jr,11/03/47,owen,m
8,0.256406,MUSTAPHA JR,11/03/47,M,OWAN,mustapha jr,11/03/47,owen,m
